𫥨	𠚢	raz	
𪫚	𪶏	pheps	
𫳵	𡫡	saoz	
𫴋	𨑜	xuoongs	
𫢩	𠉞	nayz	
𠰳	𠷦	mieengs	与phinhx𠰳的多音字冲突待解决
𫺴	𪬳	queenz	
𬑉	眜	mawts	
戈	过	quaz	用哪个还没想好，SHV無問題
𬋱	𫞟	vif	临时先这样，等考虑清楚白读字处理办法再弄
唏	𣱬	howiz	用哪个还没想好
𠖤	𢒎	bayz	用哪个还没想好
𬥓	𧸝	bans	
𫯳	𨤯	choongf	
𬁒	务	muaf	
𫼳	恾	mangz	
𬷤	𪃿	gaf	
𬹙	黰	ddeenz	
待	𫁧	ddowij	临时先这样，等考虑清楚白读字处理办法再弄
𬎻	𠻿	sawnx	临时先这样，等考虑清楚白读字处理办法再弄
𬕌	𢃅	sangf	
𫫗	𠰌	machs	
𫯅	弩	noor	
席	𥱊	tieecj	临时先这样，等考虑清楚白读字处理办法再弄
甕	𨇹	oongs	临时先这样
昂	昻	ngangz	临时先这样
旗	旂	cowf	
𫰅	𡚢	toz	
𫨩	咍	hayz	
𫯐	𡖱	boonj	
絲	緦	towz	临时先这样，等考虑清楚白读字处理办法再弄
保	蔀	baauf	临时先这样，等考虑清楚白读字处理办法再弄
𤒙	𤇪	chins	用哪个还没想好
