No	TELEX	QNC	CHUNOM	ENG
1	aamf	ầm	𩆢	To boom, to bang | Noisy, boisterous
2	aamf aamf	ầm ầm	𩆢𩆢	Roaring, rumbling
3	aamf af aamf uwf	ầm à ầm ừ	𩆢？𩆢？	xem ầm ừ
4	aamf ix	ầm ĩ	𩆢？	Noisy, boisterous, strident, uproarious
5	aamf uwf	ầm ừ	𩆢？	To hum and haw, to hum and ha, to hem and haw
6	aamj achj	ậm ạch		Labouring, ploughing, plodding
7	aamj af	ậm à		như ầm ừ
8	aamj af aamj achj	ậm à ậm ạch		xem ậm ạch
9	aamj af aamj uwf	ậm à ậm ừ		xem ậm ừ
10	aamj owf	ậm ờ		như ầm ừ
11	aamr	ẩm	飲|𤀔（𣼩？）	Damp, humid
12	aamr thaaps	ẩm thấp	𤀔？	Humid, damp, dank
13	aamr thuwcj	ẩm thực	飲食	to eat and drink
14	aamr uwowts	ẩm ướt	𤀔㲸	Wet
15	aams	ấm	𨯛|廕	pot; kettle | warm; tepid
16	aams achs	ấm ách	廕呃	Puffed up, windy, flatulent
17	aams aps	ấm áp	廕押	cosy, warm
18	aams chens	ấm chén	𨯛𡃹	tea | set; tea | sevice
19	aams cungs	ấm cúng	廕？	snug, cosy | harmonious, united
20	aams noz	ấm no	廕？	Well off; comfortable
21	aams ows	ấm ớ	廕？	half | baked | perfunctory, haphazard
22	aams tichs	ấm tích	𨯛？	China teapot
23	aams uwcs	ấm ức	？抑	Full of pent | up anger, full of pent | up resentment
24	aams uws	ấm ứ		to hum and haw
25	aamz	âm	陰|音	Yin (opposite to Yang) | Sound | Syllable | Negative, lunar, female
26	aamz aams	âm ấm	？廕	Tepid, lukewarm, warmish
27	aamz baz	âm ba	音波	sound | wave
28	aamz cungz	âm cung	陰宮	hell; hades
29	aamz cuwcj	âm cực	陰極	Cathode
30	aamz ddaoj	âm đạo	陰道	Vagina
31	aamz ddieeuj	âm điệu	音調	Tune, melody | Strain
32	aamz duwowngz	âm dương	陰陽	Ying and Yang, opposites
34	aamz giaiz	âm giai	音階	(Musical) scale
35	aamz hachj	âm hạch	陰核	clitoris
36	aamz hanhf	âm hành	陰莖	penis; the male organ of copulation
37	aamz hocj	âm học	音學	Acoustics
38	aamz hooj	âm hộ	陰戶	Vulva
39	aamz hoonf	âm hồn	陰魂	Soul, wraith, manes
40	aamz huwowngr	âm hưởng	音響	Sonority | Harmony, music
41	aamz ir	âm ỉ	陰？	Smouldering, dull and lasting
42	aamz khis	âm khí	陰氣	Miasmatic atmosphere
43	aamz lichj	âm lịch	陰曆	Lunar calendar, moon calendar
44	aamz luaatj	âm luật	音律	Prosody
45	aamz luwowngj	âm lượng	音量	volume
46	aamz maoz	âm mao	陰毛	pubic hair of man and woman
47	aamz muwuz	âm mưu	陰謀	Plot, scheme
48	aamz nangz	âm nang	陰囊	scrotum
49	aamz nhacj	âm nhạc	音樂	Music | The Kinh and all ethnic minorities in Vietnam have a time | honoured tradition of music and dance. This is evidenced by the figures seen dancing to music which were engraved on the bronze drums unearthed at Dong Son (Thanh Hoa province) and lithophones discovered in Tay Nguyen Highlands and other relics. Besides royal court music, there was also a rich vein of music which was closely attached to the daily lives of the working masses. Thousands of diverse musical tunes have been collected from this source. From Quan Ho folk songs in the North to Hue songs (songs from the Perfume River), "guessing game" songs, satirical songs, joking songs and numerous songs in southern provinces, all are characterised by a profound sensibility and poetic, lyrical sense. After 1945, royal court music was underdeveloped. But folk music flourished more than ever before along with the increasingly popular modern music
50	aamz phur	âm phủ	陰府	Hell, Hades
51	aamz sawcs	âm sắc	音色	timbre; tone | colour
52	aamz thaamf	âm thầm	音？	Silent
53	aamz thaanf	âm thần	陰唇	labia
54	aamz thaanf	âm thần	陰神	godness
55	aamz thanhz	âm thanh	音聲	Sound
56	aamz thoaz	âm thoa	音釵	(âm nhạc) diapason; pitchl
57	aamz tieets	âm tiết	音節	Syllable
58	aamz tins	âm tín	音信	News
59	aamz tiz	âm ti	陰司	như âm phủ
60	aamz uz	âm u	陰幽	Gloomy, dreary, sombre
61	aamz vaanj	âm vận	音韻	rhyme
62	aamz vaatj	âm vật	陰物	woman's gernital organ
63	aamz vij	âm vị	音位	Phoneme
64	aamz vij hocj	âm vị học	音位學	Phonology, phonemics
65	aanr	ẩn	隱|癮	To thrust | To hide | To seclude oneself from the world | Latent
66	aanr cuwz	ẩn cư	隱居	To seclude oneself from the world
67	aanr daatj	ẩn dật	隱逸	To seclude oneself and lead a leisurely life
68	aanr duj	ẩn dụ	隱喻	Metaphor
69	aanr hieenj	ẩn hiện	隱現	Now appear, now disappear; to loom
70	aanr naaps	ẩn nấp	隱？	To take cover
71	aanr naus	ẩn náu	隱？	To lurk
72	aanr sir	ẩn sỉ	隱士	retired scholar
73	aanr six	ẩn sĩ	隱士	Recluse, hermit, anchorite
74	aanr soos	ẩn số	隱數	Unknown (quantity)
75	aanr tinhf	ẩn tình	隱情	Secret feeling, secret intimate sentiment
76	aanr tuwowngs	ẩn tướng	隱相	(cũ) Hidden physiognomic features
77	aanr ys	ẩn ý	隱意	Implication, hint
78	aans	ấn	印	Seal | To press | To jam, to cram
79	aans banr	ấn bản	印本	Printed matter
80	aans chir	ấn chỉ	印紙	printed matters ; printed paper
81	aans ddinhj	ấn định	印定	To define, to lay down
82	aans ddooj giaos	ấn Độ giáo	印度教	Hinduism
83	aans hanhf	ấn hành	印行	Print and publish
84	aans hocj	ấn học	印學	Indianism
85	aans kieems	ấn kiếm	印劍	Seal and sword
86	aans loats	ấn loát	印刷	To print
87	aans loats phaamr	ấn loát phẩm	印刷品	Printed matter
88	aans phaamr	ấn phẩm	印品	như ấn loát phẩm
89	aans quans	ấn quán	印館	printing | house; printing | office
90	aans tins	ấn tín	印信	Official seal
91	aans tuwowngj	ấn tượng	印象	Impression
92	aanz	ân	恩|殷	favour; grace
93	aanz ais	ân ái	恩愛	như ái ân
94	aanz caanf	ân cần	殷勤	Solicitous, thoughtful
95	aanz giamr	ân giảm	恩減	To mitigate the punishment of
96	aanz haanj	ân hận	慇恨	To feel regret, to feel regretful, to repent
97	aanz hueej	ân huệ	恩惠	Favour
98	aanz nghiax	ân nghĩa	恩義	Feeling of gratitude (for favour received..)
99	aanz nhaanz	ân nhân	恩人	Benefactor, benefactress
100	aanz oans	ân oán	恩怨	gratitude and resentment
101	aanz tinhf	ân tình	恩情	Deep feeling of gratitude | Full of gratitude, full of deep affection
102	aanz xas	ân xá	恩赦	To amnesty, to grant amnesty
103	aapj	ập	𨁲	to rush in; to rush down | with a bang, with a crash, tumultuously
104	aaps	ấp	邑	land holding (of vassal or nobleman) | small settlement at newly | reclaimed site hamlet | to hatch, to brood, to sit, to incubate | to embrace, to hug
105	aaps az aaps ungs	ấp a ấp úng		xem ấp úng (láy)
